,TC Index,TC Variables,TC Value
3,"(0, 1)","('x_1', 'x_2')",-0.06154782697558403
2,"(0, 0)","('x_1', 'x_1')",0.03417133167386055
0,"(0,)","('x_1',)",0.034068312495946884
1,"(1,)","('x_2',)",-0.033680327236652374
6,"(0, 0, 1)","('x_1', 'x_1', 'x_2')",-0.028058120980858803
4,"(1, 1)","('x_2', 'x_2')",0.02231581136584282
5,"(0, 0, 0)","('x_1', 'x_1', 'x_1')",0.016074126586318016
7,"(0, 1, 1)","('x_1', 'x_2', 'x_2')",0.01098694372922182
8,"(1, 1, 1)","('x_2', 'x_2', 'x_2')",0.0017348937690258026
