,TC Index,TC Variables,TC Value
1,"(1,)","('x_2',)",0.10561012476682663
0,"(0,)","('x_1',)",0.05265530198812485
4,"(1, 1)","('x_2', 'x_2')",0.04433705657720566
3,"(0, 1)","('x_1', 'x_2')",0.03632975369691849
6,"(0, 0, 1)","('x_1', 'x_1', 'x_2')",-0.027550188824534416
8,"(1, 1, 1)","('x_2', 'x_2', 'x_2')",-0.027483398094773293
7,"(0, 1, 1)","('x_1', 'x_2', 'x_2')",-0.025939321145415306
5,"(0, 0, 0)","('x_1', 'x_1', 'x_1')",-0.010842005722224712
2,"(0, 0)","('x_1', 'x_1')",0.00873528327792883
