,TC Index,TC Variables,TC Value
0,"(0,)","('x_1',)",-0.10813366621732712
6,"(0, 0, 1)","('x_1', 'x_1', 'x_2')",0.09407667815685272
5,"(0, 0, 0)","('x_1', 'x_1', 'x_1')",-0.08246135711669922
7,"(0, 1, 1)","('x_1', 'x_2', 'x_2')",-0.04787645488977432
1,"(1,)","('x_2',)",-0.04671880975365639
2,"(0, 0)","('x_1', 'x_1')",0.044774435460567474
3,"(0, 1)","('x_1', 'x_2')",0.022611411288380623
8,"(1, 1, 1)","('x_2', 'x_2', 'x_2')",0.018020963296294212
4,"(1, 1)","('x_2', 'x_2')",0.0037473440170288086
