,TC Index,TC Variables,TC Value
5,"(0, 0, 0)","('x_1', 'x_1', 'x_1')",-0.09330334514379501
7,"(0, 1, 1)","('x_1', 'x_2', 'x_2')",-0.07381571829319
6,"(0, 0, 1)","('x_1', 'x_1', 'x_2')",0.06652648001909256
3,"(0, 1)","('x_1', 'x_2')",0.05894116312265396
1,"(1,)","('x_2',)",0.05889132618904114
0,"(0,)","('x_1',)",-0.05547836422920227
2,"(0, 0)","('x_1', 'x_1')",0.05350971594452858
4,"(1, 1)","('x_2', 'x_2')",0.048084404319524765
8,"(1, 1, 1)","('x_2', 'x_2', 'x_2')",-0.00946242269128561
