,TC Index,TC Variables,TC Value
1,"(1,)","('x_2',)",0.18238899111747742
0,"(0,)","('x_1',)",0.18082118034362793
6,"(0, 0, 1)","('x_1', 'x_1', 'x_2')",-0.02250174805521965
7,"(0, 1, 1)","('x_1', 'x_2', 'x_2')",-0.01714552938938141
8,"(1, 1, 1)","('x_2', 'x_2', 'x_2')",-0.007238715887069702
5,"(0, 0, 0)","('x_1', 'x_1', 'x_1')",-0.0058668674901127815
3,"(0, 1)","('x_1', 'x_2')",0.00297714676707983
4,"(1, 1)","('x_2', 'x_2')",-0.0007491942378692329
2,"(0, 0)","('x_1', 'x_1')",0.0006261715898290277
